date,price,open,vol
12/30/2022,"1,826.20","1,821.80",107.50K
12/29/2022,"1,826.00","1,812.30",105.99K
12/28/2022,"1,815.80","1,822.40",118.08K
12/27/2022,"1,823.10","1,808.20",159.62K
12/26/2022,"1,809.70","1,805.80",
12/23/2022,"1,804.20","1,801.00",105.46K
12/22/2022,"1,795.30","1,823.80",175.77K
12/21/2022,"1,825.40","1,827.90",110.18K
12/20/2022,"1,825.40","1,796.80",197.50K
12/19/2022,"1,797.70","1,801.60",86.09K
12/16/2022,"1,800.20","1,786.90",128.75K
12/15/2022,"1,787.80","1,818.70",185.32K
12/14/2022,"1,818.70","1,822.60",143.80K
12/13/2022,"1,825.50","1,792.30",230.91K
12/12/2022,"1,792.30","1,808.00",107.78K
12/09/2022,"1,810.70","1,801.90",150.94K
12/08/2022,"1,801.50","1,799.50",116.27K
12/07/2022,"1,798.00","1,783.30",155.57K
12/06/2022,"1,782.40","1,780.80",127.86K
12/05/2022,"1,781.30","1,810.50",179.82K
12/02/2022,"1,809.60","1,817.00",183.72K
12/01/2022,"1,815.20","1,783.10",226.15K
11/30/2022,"1,759.90","1,763.40",192.24K
11/29/2022,"1,763.70","1,754.60",127.32K
11/28/2022,"1,755.30","1,771.10",128.55K
11/25/2022,"1,754.00","1,751.00",134.30K
11/24/2022,"1,755.35","1,753.05",
11/23/2022,"1,745.60","1,740.80",167.77K
11/22/2022,"1,739.90","1,739.70",153.09K
11/21/2022,"1,739.60","1,752.00",166.08K
11/18/2022,"1,754.40","1,763.10",137.33K
11/17/2022,"1,763.00","1,777.00",169.10K
11/16/2022,"1,775.80","1,782.00",200.76K
11/15/2022,"1,776.80","1,774.00",283.02K
11/14/2022,"1,776.90","1,769.40",191.35K
11/11/2022,"1,769.40","1,758.30",227.04K
11/10/2022,"1,753.70","1,709.70",305.72K
11/09/2022,"1,713.70","1,715.20",239.65K
11/08/2022,"1,716.00","1,678.00",297.62K
11/07/2022,"1,680.50","1,678.60",187.59K
11/04/2022,"1,676.60","1,631.70",293.52K
11/03/2022,"1,630.90","1,639.10",254.70K
11/02/2022,"1,650.00","1,651.40",220.93K
11/01/2022,"1,649.70","1,636.10",197.98K
10/31/2022,"1,640.70","1,647.20",128.41K
10/28/2022,"1,644.80","1,667.20",196.36K
10/27/2022,"1,660.30","1,664.10",2.30K
10/26/2022,"1,664.40","1,652.30",0.32K
10/25/2022,"1,653.30","1,649.60",0.59K
10/24/2022,"1,649.20","1,662.00",0.15K
10/21/2022,"1,651.50","1,626.10",0.64K
10/20/2022,"1,631.80","1,628.90",0.50K
10/19/2022,"1,629.00","1,652.40",0.30K
10/18/2022,"1,650.70","1,651.00",0.72K
10/17/2022,"1,658.90","1,646.30",0.60K
10/14/2022,"1,643.70","1,665.60",0.64K
10/13/2022,"1,677.00","1,680.20",237.01K
10/12/2022,"1,677.50","1,673.40",131.77K
10/11/2022,"1,686.00","1,675.60",171.81K
10/10/2022,"1,675.20","1,703.40",157.15K
10/07/2022,"1,709.30","1,721.00",157.45K
10/06/2022,"1,720.80","1,725.50",139.44K
10/05/2022,"1,720.80","1,734.40",173.22K
10/04/2022,"1,730.50","1,708.40",205.08K
10/03/2022,"1,702.00","1,670.50",215.49K
09/30/2022,"1,672.00","1,669.50",179.99K
09/29/2022,"1,668.60","1,669.00",201.96K
09/28/2022,"1,665.10","1,631.40",1.90K
09/27/2022,"1,631.10","1,626.70",0.83K
09/26/2022,"1,628.20","1,643.00",0.64K
09/23/2022,"1,650.00","1,674.60",1.36K
09/22/2022,"1,676.10","1,674.30",0.32K
09/21/2022,"1,670.50","1,666.80",0.17K
09/20/2022,"1,665.70","1,682.30",0.07K
09/19/2022,"1,672.60","1,680.20",0.18K
09/16/2022,"1,677.90","1,665.60",0.32K
09/15/2022,"1,671.40","1,695.00",0.28K
09/14/2022,"1,703.20","1,704.00",0.17K
09/13/2022,"1,712.00","1,733.40",0.22K
09/12/2022,"1,735.60","1,731.00",0.04K
